Nr;Name;GI;PERIOD;VALUE;TY;ASDU;IOA;IV;NT;SB;BL;OV;CA;CY;SQNR;SE;QU;PC;DT;TY103;ASDU103;FUN;INF;SUB;SIN;RET;FAN;RII;IV103;OV103;ASC;FREE;PC103;DT103;STATION;FUNCTION;ADDRESS;QUANTITY
0;Резерв;True;True;1;30;1;55;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:22;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:22;1;1;0;1
0;ИБП. Защита по входу 220В исправна (резерв);True;True;1;30;1;56;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:23;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:23;1;1;0;1
0;БКЭС. Активная энергия на вводе 0,4 кВ;True;True;1;30;1;57;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:23;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:23;1;1;0;1
0;БКЭС. Тревога в блок-боксе БКЭС;True;True;1;30;1;58;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:23;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:23;1;1;0;1
0;БКЭС. Наличие напряжения на вводе 0,4 кВ;True;True;1;30;1;59;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:23;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:23;1;1;0;1
0;БКЭС. Включен QF1;True;True;1;30;1;60;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:23;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:23;1;1;0;1
0;БКЭС. Неисправность  АУПС;True;True;1;30;1;61;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:23;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:23;1;1;0;1
0;БКЭС. Пожар в блок-боксе БКЭС;True;True;1;30;1;62;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:23;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:23;1;1;0;1
0;БКЭС. Выключатель нагрузки QS1 включен;True;True;1;30;1;63;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:23;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:23;1;1;0;1
0;БКЭС. Заземляющий нож выключатель нагрузки QS1 включен;True;True;1;30;1;64;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Тревога на площадке крана 388.7;True;True;1;30;1;65;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Тревога в блок-боксе КП ТМ;True;True;1;30;1;66;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Авария источника питания охранной сигнализации;True;True;1;30;1;67;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;68;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;69;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;70;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
