Nr;Name;GI;PERIOD;VALUE;TY;ASDU;IOA;IV;NT;SB;BL;OV;CA;CY;SQNR;SE;QU;PC;DT;TY103;ASDU103;FUN;INF;SUB;SIN;RET;FAN;RII;IV103;OV103;ASC;FREE;PC103;DT103;STATION;FUNCTION;ADDRESS;QUANTITY
0;Контроль цепи крана №100 соленоид закрытия;True;True;1;30;1;60;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №101 соленоид открытия;True;True;1;30;1;63;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №101 соленоид закрытия;True;True;1;30;1;64;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №102 соленоид открытия;True;True;1;30;1;67;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №102 соленоид закрытия;True;True;1;30;1;68;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №103 соленоид открытия;True;True;1;30;1;71;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №103 соленоид закрытия;True;True;1;30;1;72;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №104 соленоид открытия;True;True;1;30;1;75;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №104 соленоид закрытия;True;True;1;30;1;76;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №105 соленоид открытия;True;True;1;30;1;79;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №105 соленоид закрытия;True;True;1;30;1;80;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №106 соленоид открытия;True;True;1;30;1;83;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Контроль цепи крана №106 соленоид закрытия;True;True;1;30;1;84;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
